オブジェクト名（Level）,日本語名,体積(mm),巻き込まれるサイズ,音番号,いびつポイントがあるかどうか
oBishop,ビショップ,150,0,0,0
oBox,カゴ,300,16,0,0
oBurger,バーガー,400,18,0,0
oCar,クルマ,400,18,1,1
oChessBoard,チェスボード,500,20,0,0
oCup,コップ,150,0,0,0
oDonut,ドーナツ,150,0,0,0
oKing,キング,150,0,0,0
oKnight,ナイト,150,0,4,0
oOrange,ミカン,100,14,0,0
oPancake,パンケーキ,400,18,0,0
oPawn,ポーン,150,0,0,0
oQueen,クイーン,150,0,0,0
oRat,ネズミ,300,16,5,0
oRook,ルーク,150,0,0,0
oWine,ワイン,170,14,3,1
oCheese,チーズ,200,14,0,1
oCoin,コイン　,150,0,2,0
oPlate,オサラ,200,14,0,1
oRuler,ジョウギ,300,16,0,1
oDice,サイコロ,150,0,0,0
